"WATER QUALITY DATA OF DRAINS, STPS IN ANDHRA PRADESH MONITORED UNDER NWMP- 2024"
"4481","HATHLI NALLAH LIFT WATER SUPPLY
SCHEME FOR MUNICIPAL COUNCIL
HAMIRPUR","DRAIN","HIMACHAL PRADESH","10","25","6.8","8.9","7.3","8.3","231","726","1.0","2.8","0.32","3.22","4","920","27","1600","2","2"
"4482","LIFT WATER SUPPLY SCHEME
(PANJARAR) AND BHOTA ROPARI &
UJHAN","DRAIN","HIMACHAL PRADESH","10","23","6.0","8.9","7.4","8.2","218","529","1.0","2.7","0.32","4.44","4","350","32","920","2","2"
"5253","HURLA NALLA D/S HURLA BRIDGE,
VPO HURLA, TEHSIL BHUNTER, DIS.
KULLU","DRAIN","HIMACHAL PRADESH","3","18","7.4","8.1","7.0","8.3","95","214","1.0","1.0","0.32","0.78","38","140","150","540","2","2"
"5257","KALAM NALLA D/S OF MSW
PROCESSING SITE AT CHOWRI, DIST.
CHAMBA","DRAIN","HIMACHAL PRADESH","11","15","0.3","9.1","7.1","8.1","114","421","1.0","1.6","0.30","3.10","5","940","23","1700","2","2"
""
"WATER QUALITY DATA OF DRAINS IN JAMMU & KASHMIR MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"4082","BAJU NALLAH AT KHOKHYAL NEAR
BARAGE, CONFLUENCE POINT OF
SAHAR-KHAD AND KATHUA CITY
NALLAHS","DRAIN","JAMMU & KASHMIR","14","24","4.9","5.6","7.3","8.1","193","413","1.1","2.5","0.04","1.25","","","","","",""
""
"WATER QUALITY DATA OF DRAINS & STPS IN KERALA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"5172","NELLIKUNNU BRIDGE AT
NELLIKUNNU, KASARAGOD","DRAIN","KERALA","","","3.0","6.8","6.6","8.1","","","2.2","5.1","","","2","4600","2","2","2","2"
"20017","STP NEAR PAMBA AT
PATHANAMTHITTA KERALA","STP","KERALA","","","","","6.7","9.6","","","22.0","48.0","","","","","","","",""
""
"WATER QUALITY DATA OF DRAINS IN MAHARASHTRA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2178","CHIKHALI NALA MEETS GODAVARI
RIVER, VILLAGE- CHIKHALI, TALUKA-
NASHIK, DISTRICT- NASHIK.","DRAIN","MAHARASHTRA","19","25","0.3","4.8","7.1","8.5","485","1642","4.2","60.0","0.30","5.00","4","43","39","540","2","2"
"2782","RABODI NALA, VILLAGE-
RABODI,TALUKA- THANE, DISTRICT-
THANE.","DRAIN","MAHARASHTRA","28","32","0.3","2.4","7.0","7.4","376","591","10.0","120.0","0.30","6.61","460","5400","1700","9200","",""
"2783","COLOUR CHEM NALA, VILLAGE-
MAJIWADA,TALUKA- THANE,
DISTRICT- THANE.","DRAIN","MAHARASHTRA","27","32","0.3","4.8","7.0","8.6","404","989","10.0","85.0","0.30","5.36","340","9200","1200","16000","",""
"2784","SANDOZ NALA, VILLAGE-
SANDOZBAUG,TALUKA- THANE,
DISTRICT- THANE.","DRAIN","MAHARASHTRA","28","32","0.3","4.6","7.2","7.7","519","753","6.0","115.0","0.30","7.44","700","16000","2800","16000","",""
"2785","BPT, NAVAPUR, VILLAGE- NAVAPUR,
TALUKA- PALGHAR, DISTRICT-
PALGHAR.","DRAIN","MAHARASHTRA","26","27","0.3","4.3","7.1","8.4","4125","8335","13.0","160.0","1.52","45.30","2","240","34","920","",""
"2786","TARAPUR MIDC NALA ( NEAR SUMP
1), VILLAGE- MIDC TARAPUR, TALUKA-
PALGHAR, DISTRICT- PALGHAR.","DRAIN","MAHARASHTRA","26","26","0.3","4.9","6.9","8.0","1741","3318","6.0","280.0","2.89","3.40","17","40","46","210","",""
"2787","TARAPUR MIDC NALA ( NEAR SUMP
2), VILLAGE- MIDC TARAPUR, TALUKA
PALGHAR, DISTRICT- PALGHAR.","-DRAIN","MAHARASHTRA","26","27","0.3","1.8","6.9","8.0","1868","3108","52.0","310.0","1.20","2.93","17","49","140","170","",""
"2788","TARAPUR MIDC NALA ( NEAR SUMP
3), VILLAGE- MIDC TARAPUR, TALUKA
PALGHAR, DISTRICT- PALGHAR.","-DRAIN","MAHARASHTRA","26","27","0.3","0.3","6.9","7.9","1844","3142","64.0","290.0","1.30","3.69","7","17","49","70","",""
"2789","NALA AT D/S OF AKLAI MANDIR,
VILLAGE- AKLAI, TALUKA-
MALSHIRAS, DISTRICT- SOLAPUR.","DRAIN","MAHARASHTRA","28","31","5.5","6.0","8.1","8.9","226","965","1.8","12.5","2.19","5.11","40","430","425","1800","4","12"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2790","PIMPAL-PANERI NALA AT RATNAGIRI
NEAR FINOLEX INDUSTRIES, VILLAGE-
YAHGANIGAON, TALUKA- RATNAGIRI,
DISTRICT- RATNAGIRI.","DRAIN","MAHARASHTRA","23","30","5.2","7.7","4.1","8.0","310","4928","2.8","3.8","0.30","1.10","6","12","24","58","2","2"
""
"WATER QUALITY DATA OF DRAINS & STPS IN ODISHA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3923","GURADIH NALLAH AT PANPOSH","DRAIN","ODISHA","22","34","2.8","7.8","6.6","7.6","310","545","5.0","6.7","0.61","5.73","3300","35000","11000","54000","27","110"
"3934","GANDA NALLAH AT MARTHAPUR","DRAIN","ODISHA","20","29","5.2","9.2","7.3","8.1","168","1057","1.3","2.0","0.43","12.94","130","790","460","2200","",""
"3939","KUNDRA NALLAH AT JODA","DRAIN","ODISHA","19","31","6.0","7.9","7.1","7.9","146","190","1.1","1.8","0.41","0.98","170","2300","460","4900","",""
"20019","STP, PURI AT MANGALAGHAT","STP","ODISHA","","","","","7.1","8.5","","","5.4","98.0","","","2","3300","2","7900","2","2"
"20020","WASTEWATER OF TALCHER","STP","ODISHA","","","","","6.8","8.8","","","48.0","98.0","","","160000","160000","160000","160000","",""
""
"WATER QUALITY DATA OF DRAINS & STPS IN PUNJAB MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"2906","DHANAULA DRAIN FALLING INTO
LASSARA DRAIN NEAR VILL. DHUNAS,
PUNJAB","DRAIN","PUNJAB","10","32","0.3","1.8","7.2","7.9","2275","4021","61.0","129.0","3.00","4.10","84000","120000","210000","350000","",""
"2907","HUDIARA DRAIN AT VILL. DHAHUKE
(WHERE IT ENTERS PAKISTAN),
PUNJAB","DRAIN","PUNJAB","12","29","0.3","0.3","7.1","7.5","1156","1704","48.0","115.0","1.20","3.00","63000","1700000","110000","2000000","",""
"2908","OUTLET OF NADIALA DRAIN INTO
DHAKANSU NALLAH, PUNJAB","DRAIN","PUNJAB","9","43","0.3","1.5","7.0","7.8","975","1910","21.0","71.0","2.70","4.30","2100","70000","94000","280000","",""
"2909","TALLEWAL DRAIN AT BRIDGE
JALWALAN - LOHGARH LINK ROAD","DRAIN","PUNJAB","10","33","0.3","1.6","7.1","7.9","1513","2891","51.0","83.0","2.80","4.60","6300","110000","170000","350000","",""
"2910","BRIDGE ON TUNG DHAB DRAIN,
FATENGARH CHURIAN ROAD,
AMRITSAR","DRAIN","PUNJAB","11","29","0.3","0.3","7.1","7.3","1488","2854","72.0","260.0","1.40","3.40","120000","2200000","280000","2700000","",""
"2914","POINT SOURSE BUDHA NALLAH,
PUNJAB","DRAIN","PUNJAB","17","32","0.3","0.3","7.0","7.7","1254","1875","61.0","175.0","2.80","8.20","700000","3500000","2200000","9200000","",""
"4158","SAGARPARA DRAIN AT VILL SAGRA
DIST, PATIALA","DRAIN","PUNJAB","9","36","0.3","2.1","7.3","8.0","871","1521","19.0","43.0","2.30","3.70","5800","11000","28000","43000","",""
"20021","JALANDHAR","STP","PUNJAB","","","","","7.1","7.5","","","14.0","24.0","","","400","1400","","","",""
"20022","LUDHIANA-1, BHATTIAN","STP","PUNJAB","","","","","6.7","7.5","","","6.0","35.0","","","32","4600","","","",""
"20023","LUDHIANA-2, BALLOKE","STP","PUNJAB","22","29","","","7.1","8.1","","","8.0","35.0","","","210","26000","","","",""
"20024","LUDHIANA-3, JAMALPUR","STP","PUNJAB","","","","","6.5","8.5","","","1.0","120.0","","","2","7000000","2","35000000","2","2"
"20025","PHAGWARA","STP","PUNJAB","","","","","7.2","8.2","","","12.0","24.0","","","330","790","","","",""
"20026","PHILLAUR","STP","PUNJAB","","","","","7.3","11.4","","","6.0","21.0","","","2","790","","","",""
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"20027","KAPURTHALA","STP","PUNJAB","","","","","6.6","7.3","","","16.0","28.0","","","330","6300","","","",""
"20028","SULTANPUR LODHI","STP","PUNJAB","","","","","6.9","7.5","","","32.0","48.0","","","2200","28000","","","",""
""
"WATER QUALITY DATA OF DRAINS & STPS IN TAMIL NADU MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"10047","CHENNAI WATERWAYS AT OTTERI
NULLAH (ORIGIN)","DRAIN","TAMIL NADU","28","33","0.3","1.2","6.3","7.3","1191","2450","16.0","57.0","0.30","14.77","330","1610","1700","14080","",""
"10048","CHENNAI WATERWAYS AT OTTERI
NULLAH (KILPAUK GARDEN)","DRAIN","TAMIL NADU","28","33","0.3","1.3","6.3","7.2","883","1979","14.0","63.0","0.30","9.59","330","1439","2000","14210","",""
"10051","CHENNAI WATERWAYS AT
BUCKINGHAM CANAL X OTTERI
NULLAH CONFLUENCE (GMR VASAVI
INDUSTRIES)","DRAIN","TAMIL NADU","28","34","0.3","1.3","6.7","7.1","1013","1908","7.0","40.0","0.32","8.67","290","2096","1700","15420","",""
"10056","CHENNAI WATERWAYS AT
MAMBALAM DRAIN (GOLF COURSE)","DRAIN","TAMIL NADU","27","32","0.3","0.3","6.4","7.1","829","2020","14.0","49.0","0.30","54.02","120","1247","1200","13280","",""
"20033","CHENNAI-2 PERUNGADI(ZONE-V)","STP","TAMIL NADU","26","26","","","7.0","7.0","","","5.0","5.0","","","134","134","1414","1414","",""
"20038","ERODE-2","STP","TAMIL NADU","25","26","4.6","6.0","7.3","7.8","976","1139","3.2","11.0","0.35","5.35","170","3873","330","7701","",""
"20041","KARUR","STP","TAMIL NADU","26","30","0.3","0.3","7.3","7.3","1418","1778","45.0","68.0","1.42","1.92","18","4000","45","9300","",""
"20042","MAYILADUTHURAI","STP","TAMIL NADU","28","28","3.9","3.9","6.5","6.5","736","736","14.0","14.0","0.62","0.62","921","921","23700","23700","",""
"20044","THANJAVUR","STP","TAMIL NADU","28","28","","","7.7","7.7","1339","1339","44.0","44.0","9.00","9.00","1203","1203","8100","8100","",""
"20045","TIRUNELVELI","STP","TAMIL NADU","26","30","","","7.7","8.8","782","1073","18.0","28.0","","","540","1100","920","3200","",""
"20046","MADURAI","STP","TAMIL NADU","25","27","5.2","5.9","7.4","7.6","1386","1790","6.0","15.0","0.33","1.59","17","179","45","365","",""
"WATER QUALITY DATA OF DRAINS & STPS IN TELANGANA MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3054","RIVER GODAVARI - OUTLET OF ASH
POND EFFLUENTS OF M/S.NTPC,
RAMAGUNDAM","DRAIN","TELANGANA","25","26","2.8","6.4","8.4","11.4","741","1601","1.0","5.0","0.65","4.64","2","17","21","350","2","2"
"4665","RIVER MANERU (TRIBUTARY OF
GODAVARI) - OUTLET OF KTPP ASH
POND JOINING TO MORANCHA VAGU,
CHELPUR (V), GHANPUR (MULUGU)
(M), , JAYASHANKAR BHUPALAPALLI
DISTRICT","DRAIN","TELANGANA","26","28","4.0","6.1","7.7","8.5","443","943","1.0","3.8","0.30","4.30","2","14","24","110","2","2"
"3055","AMBERPET STP (339 MLD) - OUTLET ,
AMBERPET (V&M), HYDERABAD","STP","TELANGANA","27","28","0.9","5.0","7.0","7.7","1303","1752","2.0","43.0","3.58","3.58","2","14","21","1600","2","2"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3056","LANGARHOUSE STP (1.25 MLD) -
OUTLET, GOLCONDA (V&M)
,HYDERABAD","STP","TELANGANA","25","29","3.2","6.0","6.2","8.3","950","1817","7.0","18.0","","","2","11","21","430","",""
"3057","NAGOLE STP (172 MLD)- OUTLET,
NAGOLE,RANGAREDDY","STP","TELANGANA","26","28","3.2","7.7","7.2","7.5","1090","1297","3.0","64.0","","","2","14","27","140","",""
"3058","KHAIRATABAD STP (20 MLD) -
OUTLET, NEAR RAJ NAGAR,
KHARITABAD , HYDERABAD","STP","TELANGANA","26","28","2.1","4.5","6.8","8.2","932","1453","4.0","31.0","","","2","13","48","1600","",""
"3059","SAFILGUDA STP (0.6 MLD) - OUTLET,
SAFILGUDA,MEDCHAL","STP","TELANGANA","26","30","3.4","6.3","7.4","7.7","1372","1752","2.0","22.0","","","2","14","33","1600","",""
"3060","DURGAM STP (5 MLD) - OUTLET,
RAIDURG (V), SERILINGAMPALLY (M),
RANGAREDDY (D)","STP","TELANGANA","26","28","3.4","5.4","7.1","8.5","1030","1604","11.0","29.0","","","2","4","120","1600","",""
"3061","NALLACHERUVU STP (30 MLD) -
OUTLET, UPPAL, RANGAREDDY","STP","TELANGANA","27","28","3.4","5.6","7.1","7.8","1324","1606","11.0","28.0","","","2","13","21","140","",""
"3062","SAROORNAGAR STP (2.5 MLD) -
OUTLET, SAROORNAGAR (V & M),
RANGAREDDY DISTRICT","STP","TELANGANA","25","28","1.3","4.6","6.9","7.6","1212","1639","6.0","22.0","","","2","10","17","1600","",""
""
"WATER QUALITY DATA OF WTP IN UTTAR PRADESH MONITORED UNDER NWMP- 2024"
"STN Code","Monitoring Location","Water Body","State Name","Temperature (°C)","Dissolved O2
(mg/L)","pH","Conductivity
(µmho/cm)","BOD (mg/L)","NitrateN +
NitriteN(mg/L)","Fecal Coliform
(MPN/100ml)","Total Coliform
(MPN/100ml)","Fecal
Streptococci
(MPN/100ml)"
"Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max","Min","Max"
"3050","WATER WORKS- GHAZIABAD","WATER TREATMENT PLANT","UTTAR PRADESH","18","28","8.5","11.5","7.2","7.6","168","196","1.0","1.0","0.30","0.30","2","2","2","2","2","2"
